.1
.11
.19
.3pm
.3x
.A
.AB
.ASN1
.ATP
.B
.BAK
.BAT
.C
.CFG
.CNT
.COB
.CONFIG
.CPP
.CR
.Config
.DEF
.DLG
.Emacs
.FOR
.GCOrder
.H
.INI
.LIB
.M
.MAC
.MAK
.MF
.MSVC
.Mac
.Msg
.PAS
.PL
.PLS
.PRM
.PS
.Plo
.Po
.R
.RB
.RES
.Rules
.SH
.T
.TCL
.TEST
.UNX
.V
.WIN
.WSDL
.XML
.Xml
.a
.abc
.abml
.action
.adb
.adoc
.ads
.aidl
.am
.app
.appcache
.appxmanifest
.arff
.asab
.asax
.asc
.asdl
.asm
.asmx
.asn1
.asp
.aspx
.awk
.b
.bak
.bas
.bash
.bat
.bcc
.beta
.binning
.bpr
.brian
.bsh
.build
.builder
.c
.cP
.cbl
.cc
.cd
.cfg
.cgi
.ch
.classpath
.clp
.clw
.cmake
.cmd
.cnt
.cob
.codeset
.coffee
.conf
.config
.configure
.cp
.cpp
.cppre
.cs
.csh
.csproj
.css
.ctl
.cxx
.datasource
.dbml
.dcf
.dd
.ddl
.decode
.def
.dep
.desc
.dev
.dfg
.diff
.dmc
.dml
.dot
.drl
.ds
.dsp
.dsw
.dtd
.dupekiller
.emacs
.erb
.err
.es
.exp
.fas
.fcgi
.fdl
.filtered
.for
.frs
.fs
.fw
.go
.gp
.graffle
.grammar
.graph
.groovy
.gson
.guess
.gyp
.gypi
.h
.haml
.hbm
.hdf
.hh
.hpp
.hrl
.htc
.htm
.html
.hxx
.icl
.idl
.image
.iml
.imp
.in
.incl
.ini
.ion
.ipp
.ipr
.jade
.jam
.jardesc
.jav
.java
.jcl
.jdp
.jeg
.jj
.jmx
.js
.json
.jsp
.jspf
.jurisdictions
.km
.kml
.ksh
.launch
.less
.lex
.lib
.ll
.lnx
.lsp
.lua
.m
.m4
.mab
.mac
.mail
.mak
.make
.master
.mc
.mdb
.mdl
.mf
.mht
.mhtml
.mi
.mingw
.mingw32
.mk
.ml
.mm
.mpa
.ms
.msc
.msg
.msvc
.mtx
.mxml
.myapp
.nsi
.nt
.obj
.old2
.online_logs_version
.opt
.org
.ori
.out
.pas
.patch
.pbxproj
.pc
.pch
.pd
.perl
.pgm
.ph
.php
.php3
.php4
.phpt
.pi
.pl
.pls
.pm
.po
.poc
.pod
.policy
.pop
.pp
.prefs
.pri
.prl
.prm
.pro
.proto
.ps
.psl
.pubsub
.py
.r
.rake
.rb
.rc2
.rdf
.rdoc
.re
.rej
.rep
.res
.resx
.rgs
.rhtml
.rml
.rng
.robotsfile
.rotation
.rsp
.rst
.rte
.rules
.sample
.sas
.sass
.sbs
.scala
.scexe
.scm
.script
.scss
.sct
.sgml
.sh
.simple
.sln
.smd
.spl
.sql
.src
.ssi
.st
.stanza
.stripped
.styl
.sub
.suf
.sym
.t
.t_disabled
.tab
.tag
.tail
.tcl
.template
.test
.tex
.texi
.thor
.tld
.tmpl
.tpl
.trg
.trgs
.tsc
.tst
.uml
.unx
.v
.v2
.vb
.vbp
.vbproj
.vbw
.vc
.vc6
.vcp
.vcproj
.vcwin32
.vcxproj
.vdproj
.vps
.vsprops
.vssscc
.wiki
.win
.wis
.with-asn-update-logic
.wml
.wsdd
.wsdl
.wsf
.wsp
.wsrp
.wxl
.wxs
.xaml
.xib
.xjb
.xmf
.xml
.xqm
.xs
.xsd
.xsl
.xslt
.yaml
.yml
.yy
.zpl
